MT    36
    1    1     -13.000000     -13.000000
  5
0.001 -1.6276E-05  1.2434E-05  1.1056E-04 -1.1273E-04 -3.2459E-05  3.3096E-05  4.7785E-06 -3.6506E-06  4.2777E-06  4.2777E-06  4.2777E-06  4.2777E-06  4.2777E-06  4.2777E-06  4.2777E-06  4.2777E-06
 0.01 -4.5891E-05  1.3753E-05  3.4989E-04 -3.6437E-04 -1.0273E-04  1.0698E-04  1.3473E-05 -4.0378E-06  1.3686E-05  1.3686E-05  1.3686E-05  1.3686E-05  1.3686E-05  1.3686E-05  1.3686E-05  1.3686E-05
  0.1 -3.5409E-05 -3.6159E-05  1.1013E-03 -1.3952E-03 -3.2332E-04  4.0963E-04  1.0396E-05  1.0616E-05  4.8156E-05  4.8156E-05  4.8156E-05  4.8156E-05  4.8156E-05  4.8156E-05  4.8156E-05  4.8156E-05
    1  4.3155E-06  3.7127E-06  4.3766E-03 -4.2753E-03 -1.2850E-03  1.2552E-03 -1.2670E-06 -1.0900E-06  1.6576E-04  1.6576E-04  1.6576E-04  1.6576E-04  1.6576E-04  1.6576E-04  1.6576E-04  1.6576E-04
   10 -1.0131E-08 -9.7948E-09  1.3489E-02 -1.3886E-02 -3.9602E-03  4.0769E-03  2.9744E-09  2.8757E-09  5.2448E-04  5.2448E-04  5.2448E-04  5.2448E-04  5.2448E-04  5.2448E-04  5.2448E-04  5.2448E-04
    9    9      -9.000000      -5.000000
  5
0.001 -7.1786E-06  5.4847E-06  7.0596E-05 -7.1920E-05 -5.8125E-06  6.1955E-06  5.9711E-07 -4.5491E-07  1.4630E-06  1.4630E-06  1.4630E-06  1.4630E-06  1.4630E-06  1.4630E-06  1.4630E-06  1.4630E-06
 0.01 -2.0189E-05  6.1304E-06  2.2307E-04 -2.3146E-04 -1.8723E-05  2.1652E-05  1.6763E-06 -4.9294E-07  4.7962E-06  4.7962E-06  4.7962E-06  4.7962E-06  4.7962E-06  4.7962E-06  4.7962E-06  4.7962E-06
  0.1 -1.6388E-05 -1.5876E-05  6.8996E-04 -9.0580E-04 -6.4400E-05  9.1559E-05  1.2824E-06  1.3342E-06  1.7851E-05  1.7851E-05  1.7851E-05  1.7851E-05  1.7851E-05  1.7851E-05  1.7851E-05  1.7851E-05
    1  2.0044E-06  1.7945E-06  2.8737E-03 -2.7972E-03 -2.8481E-04  2.7614E-04 -1.4153E-07 -1.3546E-07  6.3066E-05  6.3066E-05  6.3066E-05  6.3066E-05  6.3066E-05  6.3066E-05  6.3066E-05  6.3066E-05
   10 -1.2855E-09 -3.2810E-09  8.8094E-03 -9.0692E-03 -8.6991E-04  8.9557E-04  8.6451E-11  1.9351E-10  1.9865E-04  1.9865E-04  1.9865E-04  1.9865E-04  1.9865E-04  1.9865E-04  1.9865E-04  1.9865E-04
   10   10      -9.000000       5.000000
  5
0.001  5.7331E-05 -4.3803E-05  5.6381E-04 -5.7439E-04 -1.1726E-03  1.2499E-03 -1.2046E-04  9.1776E-05  5.8724E-05  5.8724E-05  5.8724E-05  5.8724E-05  5.8724E-05  5.8724E-05  5.8724E-05  5.8724E-05
 0.01  1.6124E-04 -4.8960E-05  1.7815E-03 -1.8485E-03 -3.7773E-03  4.3682E-03 -3.3818E-04  9.9449E-05  1.9252E-04  1.9252E-04  1.9252E-04  1.9252E-04  1.9252E-04  1.9252E-04  1.9252E-04  1.9252E-04
  0.1  1.3088E-04  1.2679E-04  5.5103E-03 -7.2341E-03 -1.2992E-02  1.8472E-02 -2.5872E-04 -2.6917E-04  7.1653E-04  7.1653E-04  7.1653E-04  7.1653E-04  7.1653E-04  7.1653E-04  7.1653E-04  7.1653E-04
    1 -1.6008E-05 -1.4332E-05  2.2951E-02 -2.2340E-02 -5.7458E-02  5.5711E-02  2.8552E-05  2.7328E-05  2.5314E-03  2.5314E-03  2.5314E-03  2.5314E-03  2.5314E-03  2.5314E-03  2.5314E-03  2.5314E-03
   10  1.0267E-08  2.6203E-08  7.0355E-02 -7.2430E-02 -1.7550E-01  1.8068E-01 -1.7441E-08 -3.9039E-08  7.9740E-03  7.9740E-03  7.9740E-03  7.9740E-03  7.9740E-03  7.9740E-03  7.9740E-03  7.9740E-03
   11   11      -9.000000       9.000000
  5
0.001  1.3174E-05 -1.0065E-05  8.9487E-05 -9.1245E-05 -2.5492E-05  2.5993E-05 -3.7529E-06  2.8671E-06  3.4106E-06  3.4106E-06  3.4106E-06  3.4106E-06  3.4106E-06  3.4106E-06  3.4106E-06  3.4106E-06
 0.01  3.7146E-05 -1.1132E-05  2.8321E-04 -2.9493E-04 -8.0678E-05  8.4017E-05 -1.0582E-05  3.1712E-06  1.0912E-05  1.0912E-05  1.0912E-05  1.0912E-05  1.0912E-05  1.0912E-05  1.0912E-05  1.0912E-05
  0.1  2.8661E-05  2.9268E-05  8.9139E-04 -1.1293E-03 -2.5393E-04  3.2171E-04 -8.1647E-06 -8.3374E-06  3.8395E-05  3.8395E-05  3.8395E-05  3.8395E-05  3.8395E-05  3.8395E-05  3.8395E-05  3.8395E-05
    1 -3.4931E-06 -3.0052E-06  3.5426E-03 -3.4606E-03 -1.0092E-03  9.8581E-04  9.9506E-07  8.5608E-07  1.3216E-04  1.3216E-04  1.3216E-04  1.3216E-04  1.3216E-04  1.3216E-04  1.3216E-04  1.3216E-04
   10  8.2003E-09  7.9281E-09  1.0918E-02 -1.1240E-02 -3.1102E-03  3.2019E-03 -2.3360E-09 -2.2585E-09  4.1817E-04  4.1817E-04  4.1817E-04  4.1817E-04  4.1817E-04  4.1817E-04  4.1817E-04  4.1817E-04
   12   12      -9.000000      13.000000
  5
0.001  4.7337E-04 -3.6052E-04  3.1595E-03 -3.2259E-03 -1.7297E-05  1.7105E-05 -2.6159E-06  2.0001E-06  1.6571E-05  1.6571E-05  1.6571E-05  1.6571E-05  1.6571E-05  1.6571E-05  1.6571E-05  1.6571E-05
 0.01  1.3362E-03 -3.8454E-04  1.0018E-02 -1.0487E-02 -5.4139E-05  5.2051E-05 -7.4079E-06  2.2072E-06  5.2183E-05  5.2183E-05  5.2183E-05  5.2183E-05  5.2183E-05  5.2183E-05  5.2183E-05  5.2183E-05
  0.1  9.1774E-04  1.0636E-03  3.2291E-02 -3.9042E-02 -1.5963E-04  1.8089E-04 -5.4124E-06 -5.8765E-06  1.7481E-04  1.7481E-04  1.7481E-04  1.7481E-04  1.7481E-04  1.7481E-04  1.7481E-04  1.7481E-04
    1 -9.6869E-05 -9.9703E-05  1.2061E-01 -1.1836E-01 -5.7190E-04  5.6293E-04  6.1193E-07  6.0710E-07  5.8225E-04  5.8225E-04  5.8225E-04  5.8225E-04  5.8225E-04  5.8225E-04  5.8225E-04  5.8225E-04
   10  1.8006E-07  1.9844E-07  3.7441E-01 -3.8544E-01 -1.7795E-03  1.8319E-03 -1.1340E-09 -1.4285E-09  1.8523E-03  1.8523E-03  1.8523E-03  1.8523E-03  1.8523E-03  1.8523E-03  1.8523E-03  1.8523E-03
   13   13      -5.000000     -13.000000
