MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         6,    1.000000e-03,    5.257792e-05,   -4.257731e-05,    5.685074e-04,   -6.183740e-04,   -5.767692e-04,    6.258040e-04,   -4.853348e-05,    3.875478e-05,    1.111391e+00,   -7.939220e-01,    6.834827e-01,    3.637340e-01,   -9.600572e-01,   -1.551104e-01,   -1.115277e+00,    7.829346e-01,    1.004700e-04,   -7.678900e-05,    5.979600e-04,   -6.027000e-04,   -6.181400e-04,    6.191200e-04,   -9.659300e-05,    7.249300e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,    4.309200e-05,
         6,    1.000000e-02,    1.641595e-04,   -2.713034e-05,    1.911550e-03,   -2.027757e-03,   -1.940987e-03,    2.027862e-03,   -1.464916e-04,    2.371555e-05,    9.136964e-01,   -3.373384e-01,   -2.637742e-01,    7.435575e-01,    1.167624e-02,   -6.001161e-01,   -9.118419e-01,    3.075451e-01,    2.883400e-04,   -7.297800e-05,    1.875700e-03,   -1.926700e-03,   -1.939400e-03,    1.946300e-03,   -2.704200e-04,    6.551400e-05,    1.359100e-04,    1.359100e-04,    1.359100e-04,    1.359100e-04,    1.359100e-04,    1.359100e-04,    1.359100e-04,    1.359100e-04,
         6,    1.000000e-01,    3.632656e-05,    1.817017e-04,    6.084489e-03,   -7.258135e-03,   -6.129881e-03,    7.139295e-03,   -3.538289e-05,   -1.167829e-04,    3.022712e-01,    2.516921e-01,   -8.275143e-01,   -1.422754e-01,    7.032900e-01,    9.743198e-02,   -2.626628e-01,   -2.584723e-01,    1.762600e-04,    2.982200e-04,    5.701400e-03,   -7.324000e-03,   -5.804300e-03,    7.184400e-03,   -1.569800e-04,   -2.364400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,    4.629400e-04,
         6,    1.000000e+00,   -1.845601e-04,    5.645909e-04,    2.038670e-02,   -2.798442e-02,   -2.023022e-02,    2.721160e-02,   -3.177665e-04,   -6.441679e-04,   -3.234976e-03,   -7.298279e-03,    6.079749e-02,   -6.165513e-03,   -4.067616e-02,   -9.676882e-03,    1.392894e-02,    1.689162e-03,   -1.901100e-04,    5.520700e-04,    2.049100e-02,   -2.799500e-02,   -2.030000e-02,    2.719500e-02,   -2.938700e-04,   -6.412700e-04,    1.715600e-03,    1.715600e-03,    1.715600e-03,    1.715600e-03,    1.715600e-03,    1.715600e-03,    1.715600e-03,    1.715600e-03,
         7,    1.000000e-03,   -4.598557e-05,    3.676615e-05,    5.169002e-04,   -5.725855e-04,   -5.671758e-04,    6.170374e-04,    4.400877e-05,   -3.588819e-05,   -9.424767e-01,    6.996916e-01,   -9.211934e-02,    1.074561e+00,   -9.741083e-01,   -3.097526e-01,    1.339749e+00,   -9.512699e-01,   -8.343300e-05,    6.456700e-05,    5.132400e-04,   -5.298900e-04,   -6.058800e-04,    6.047300e-04,    9.724100e-05,   -7.368500e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,    3.973300e-05,
         7,    1.000000e-02,   -1.378058e-04,    3.881096e-05,    1.756225e-03,   -1.939992e-03,   -1.908476e-03,    2.009197e-03,    1.375792e-04,   -3.452940e-05,   -7.886432e-01,    3.275204e-01,   -1.036635e+00,    1.327432e+00,    1.433628e-01,   -9.228387e-01,    1.093475e+00,   -3.249850e-01,   -2.377900e-04,    8.033400e-05,    1.624800e-03,   -1.771700e-03,   -1.890300e-03,    1.892200e-03,    2.762100e-04,   -7.573100e-05,    1.267800e-04,    1.267800e-04,    1.267800e-04,    1.267800e-04,    1.267800e-04,    1.267800e-04,    1.267800e-04,    1.267800e-04,
         7,    1.000000e-01,   -8.658653e-05,   -9.227475e-05,    5.857282e-03,   -7.076333e-03,   -5.950074e-03,    7.263630e-03,    9.612461e-05,    1.603153e-04,   -3.571506e-01,   -9.577165e-02,   -1.500541e+00,   -1.334354e-01,    1.082105e+00,   -6.827482e-02,    3.245491e-01,    2.975327e-01,   -2.462900e-04,   -1.351000e-04,    5.186300e-03,   -7.136000e-03,   -5.466200e-03,    7.233100e-03,    2.412500e-04,    2.933600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,    4.471600e-04,
         7,    1.000000e+00,   -3.754513e-04,   -2.694480e-04,    1.991131e-02,   -2.647819e-02,   -1.992085e-02,    2.937716e-02,    3.899227e-04,    1.262095e-03,   -2.697600e-02,    1.562092e-02,    9.226075e-02,   -2.954146e-02,   -7.043582e-02,    8.627555e-03,   -4.553645e-02,    4.163097e-02,   -4.218500e-04,   -2.425800e-04,    2.007000e-02,   -2.652900e-02,   -2.004200e-02,    2.939200e-02,    3.116000e-04,    1.333700e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,    1.720000e-03,
         8,    1.000000e-03,   -3.738099e-05,    2.916953e-05,    5.088133e-04,   -5.635600e-04,   -5.110850e-04,    5.684692e-04,    2.859990e-05,   -2.328425e-05,   -1.042572e+00,    7.482590e-01,   -2.771270e-01,    1.399934e+00,    2.626964e-01,   -1.412998e+00,    9.006042e-01,   -6.144545e-01,   -7.482600e-05,    5.604400e-05,    4.988600e-04,   -5.132800e-04,   -5.016500e-04,    5.177200e-04,    6.094600e-05,   -4.535300e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,    3.591600e-05,
         8,    1.000000e-02,   -1.123377e-04,    2.591508e-05,    1.726551e-03,   -1.904718e-03,   -1.736492e-03,    1.925404e-03,    8.997673e-05,   -2.161440e-05,   -8.440731e-01,    2.580929e-01,   -1.309152e+00,    1.764859e+00,    1.318950e+00,   -1.713213e+00,    6.881345e-01,   -1.542344e-01,   -2.106300e-04,    5.597000e-05,    1.574100e-03,   -1.699200e-03,   -1.582900e-03,    1.725900e-03,    1.701100e-04,   -3.957500e-05,    1.164500e-04,    1.164500e-04,    1.164500e-04,    1.164500e-04,    1.164500e-04,    1.164500e-04,    1.164500e-04,    1.164500e-04,
         8,    1.000000e-01,   -7.268703e-05,   -1.626237e-04,    5.702511e-03,   -7.055510e-03,   -5.731432e-03,    7.227036e-03,    4.379752e-05,    1.077506e-04,   -2.508408e-01,   -1.857599e-01,   -1.988815e+00,    5.329839e-02,    1.918447e+00,   -8.190625e-03,    1.457020e-01,    1.638548e-01,   -1.809800e-04,   -2.428200e-04,    4.843900e-03,   -7.032500e-03,   -4.903200e-03,    7.223500e-03,    1.067000e-04,    1.784900e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,    4.317200e-04,
         8,    1.000000e+00,    2.938383e-05,   -8.494794e-04,    1.991882e-02,   -2.679099e-02,   -2.031057e-02,    2.824685e-02,    1.573767e-04,    5.914757e-04,   -9.073083e-03,    2.467218e-02,    1.514672e-01,   -9.082517e-02,   -1.492848e-01,    8.391752e-02,    2.431353e-02,   -3.139412e-02,    1.379900e-05,   -8.071000e-04,    2.017900e-02,   -2.694700e-02,   -2.056700e-02,    2.839100e-02,    1.991400e-04,    5.375500e-04,    1.717700e-03,    1.717700e-03,    1.717700e-03,    1.717700e-03,    1.717700e-03,    1.717700e-03,    1.717700e-03,    1.717700e-03,
