APP_RES_AND_PHS    36
    1    1     -13.000000     -13.000000
  5
0.001   1.1359E+00   1.4262E+02   6.7501E+01  -4.5557E+01   6.7501E+01   1.3444E+02   1.1359E+00  -3.7379E+01   3.3750E+00  -1.0000E+00   3.3750E+00   2.8660E+00   3.3750E+00   2.8660E+00   3.3750E+00  -1.0000E+00
 0.01   6.2143E-01   1.6332E+02   6.9095E+01  -4.6161E+01   6.9095E+01   1.3384E+02   6.2143E-01  -1.6683E+01   3.4548E+00  -1.0000E+00   3.4548E+00   2.8660E+00   3.4548E+00   2.8660E+00   3.4548E+00  -1.0000E+00
  0.1   6.9348E-02  -1.3440E+02   8.5544E+01  -5.1716E+01   8.5544E+01   1.2828E+02   6.9348E-02   4.5600E+01   4.2772E+00  -1.0000E+00   4.2772E+00   2.8660E+00   4.2772E+00   2.8660E+00   4.2772E+00  -1.0000E+00
    1   8.7746E-05   4.0706E+01   1.0135E+02  -4.4329E+01   1.0135E+02   1.3567E+02   8.7746E-05  -1.3929E+02   5.0677E+00  -1.0000E+00   5.0677E+00   2.8660E+00   5.0677E+00   2.8660E+00   5.0677E+00  -1.0000E+00
   10   5.3766E-11  -1.3597E+02   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   5.3766E-11   4.4033E+01   5.0737E+00  -1.0000E+00   5.0737E+00   2.8660E+00   5.0737E+00   2.8660E+00   5.0737E+00  -1.0000E+00
    9    9      -9.000000      -5.000000
  5
0.001   5.1807E-01   1.4262E+02   6.4470E+01  -4.5532E+01   4.6979E+01   1.3317E+02   3.6681E-01  -3.7302E+01   3.2235E+00  -1.0000E+00   3.2235E+00   2.8660E+00   3.2235E+00   3.9345E+00   3.2235E+00  -1.0000E+00
 0.01   2.8258E-01   1.6311E+02   6.5592E+01  -4.6058E+01   5.3337E+01   1.3085E+02   1.9873E-01  -1.6387E+01   3.2796E+00  -1.0000E+00   3.2796E+00   2.8660E+00   3.2796E+00   3.5252E+00   3.2796E+00  -1.0000E+00
  0.1   3.3047E-02  -1.3591E+02   8.2300E+01  -5.2703E+01   8.1568E+01   1.2512E+02   2.2293E-02   4.6134E+01   4.1150E+00  -1.0000E+00   4.1150E+00   2.8660E+00   4.1150E+00   2.8917E+00   4.1150E+00  -1.0000E+00
    1   4.5945E-05   4.1838E+01   1.0209E+02  -4.4227E+01   1.0244E+02   1.3588E+02   2.4983E-05  -1.3626E+02   5.1221E+00  -1.0000E+00   5.1221E+00   2.8759E+00   5.1221E+00   2.8660E+00   5.1221E+00  -1.0000E+00
   10   7.8822E-12  -1.1140E+02   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   2.9240E-12   6.5927E+01   5.0736E+00  -1.0000E+00   5.0736E+00   2.8660E+00   5.0736E+00   2.8660E+00   5.0736E+00  -1.0000E+00
   10   10      -9.000000       5.000000
  5
0.001   5.1807E-01  -3.7381E+01   6.4470E+01  -4.5532E+01   4.6979E+01   1.3317E+02   3.6681E-01   1.4270E+02   3.2235E+00  -1.0000E+00   3.2235E+00   2.8660E+00   3.2235E+00   3.9345E+00   3.2235E+00  -1.0000E+00
 0.01   2.8258E-01  -1.6891E+01   6.5592E+01  -4.6058E+01   5.3337E+01   1.3085E+02   1.9873E-01   1.6361E+02   3.2796E+00  -1.0000E+00   3.2796E+00   2.8660E+00   3.2796E+00   3.5252E+00   3.2796E+00  -1.0000E+00
  0.1   3.3047E-02   4.4091E+01   8.2300E+01  -5.2703E+01   8.1568E+01   1.2512E+02   2.2293E-02  -1.3387E+02   4.1150E+00  -1.0000E+00   4.1150E+00   2.8660E+00   4.1150E+00   2.8917E+00   4.1150E+00  -1.0000E+00
    1   4.5945E-05  -1.3816E+02   1.0209E+02  -4.4227E+01   1.0244E+02   1.3588E+02   2.4983E-05   4.3745E+01   5.1221E+00  -1.0000E+00   5.1221E+00   2.8759E+00   5.1221E+00   2.8660E+00   5.1221E+00  -1.0000E+00
