MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         5,    1.000000e-03,    8.924203e-05,   -6.870556e-05,    6.110548e-04,   -6.011907e-04,   -5.232825e-04,    5.353684e-04,   -8.319028e-05,    6.402412e-05,    2.665268e-01,    1.990192e-01,   -1.589427e-01,   -5.626948e-02,    1.151973e-01,    7.457204e-02,   -5.499256e-01,   -6.607718e-01,    9.168570e-05,   -7.010070e-05,    6.062370e-04,   -5.995040e-04,   -5.263140e-04,    5.373720e-04,   -7.885390e-05,    6.005580e-05,    9.168570e-06,   -7.010070e-06,    3.031185e-05,   -2.997520e-05,   -2.631570e-05,    2.686860e-05,   -7.885390e-06,    6.005580e-06,
         5,    1.000000e-02,    2.553620e-04,   -7.502370e-05,    1.907856e-03,   -1.804246e-03,   -1.667192e-03,    1.725117e-03,   -2.356516e-04,    6.778013e-05,    1.648440e-01,    3.020286e-01,   -1.087289e-01,    2.206118e-01,    2.010361e-02,    2.496157e-01,   -5.871812e-01,   -5.812380e-01,    2.596420e-04,   -7.736020e-05,    1.897540e-03,   -1.824370e-03,   -1.668870e-03,    1.746920e-03,   -2.225820e-04,    6.405690e-05,    2.596420e-05,   -7.736020e-06,    9.487700e-05,   -9.121850e-05,   -8.344350e-05,    8.734600e-05,   -2.225820e-05,    6.405690e-06,
         5,    1.000000e-01,    1.843471e-04,    1.994204e-04,    5.630711e-03,   -6.322818e-03,   -5.383969e-03,    6.320567e-03,   -1.597323e-04,   -1.871922e-04,    2.821750e-01,    3.178924e-01,   -1.277627e-01,    5.479868e-02,   -1.813884e-02,    5.630148e-01,   -4.484850e-01,   -5.656237e-01,    1.897000e-04,    2.059680e-04,    5.594970e-03,   -6.340190e-03,   -5.379090e-03,    6.503650e-03,   -1.528760e-04,   -1.771710e-04,    1.897000e-05,    2.059680e-05,    2.797485e-04,   -3.170095e-04,   -2.689545e-04,    3.251825e-04,   -1.528760e-05,   -1.771710e-05,
         5,    1.000000e+00,   -2.144039e-05,   -2.116357e-05,    2.006220e-02,   -1.997663e-02,   -1.975607e-02,    2.005466e-02,    1.619129e-05,    1.678565e-05,    3.502452e-03,    5.391808e-02,   -1.726135e-02,   -2.495983e-01,    3.329253e-01,   -3.427123e-01,   -3.401860e-02,   -1.066638e-01,   -2.144790e-05,   -2.127830e-05,    2.004490e-02,   -1.973040e-02,   -2.009050e-02,    1.971680e-02,    1.613640e-05,    1.660850e-05,   -2.144790e-06,   -2.127830e-06,    1.002245e-03,   -9.865200e-04,   -1.004525e-03,    9.858400e-04,    1.613640e-06,    1.660850e-06,
         5,    1.000000e+01,    8.412289e-06,    4.907921e-06,    6.187901e-02,   -6.351531e-02,   -6.180957e-02,    6.352045e-02,   -3.121568e-06,   -4.561482e-06,   -8.373381e-10,   -4.858337e-10,    1.572211e-01,    2.153340e-01,    1.793947e-01,    2.137312e-01,    3.091883e-10,    4.528879e-10,    3.974550e-08,    5.006970e-08,    6.236930e-02,   -6.420660e-02,   -6.236900e-02,    6.420660e-02,   -2.999470e-08,   -3.305630e-08,    9.999000e+03,    9.999000e+03,    3.118465e-03,   -3.210330e-03,   -3.118450e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
         6,    1.000000e-03,    9.731374e-05,   -7.467358e-05,    6.060104e-04,   -6.000470e-04,   -6.097279e-04,    6.011977e-04,   -9.846417e-05,    7.533926e-05,   -1.759827e-01,   -2.595863e-01,   -2.270479e-01,   -1.019758e-01,   -3.511268e-01,   -1.405242e-01,   -2.962823e-01,   -3.510462e-01,    9.563080e-05,   -7.278420e-05,    5.992080e-04,   -5.970030e-04,   -5.992080e-04,    5.970030e-04,   -9.563080e-05,    7.278420e-05,    9.563080e-06,   -7.278420e-06,    2.996040e-05,   -2.985015e-05,   -2.996040e-05,    2.985015e-05,   -9.563080e-06,    7.278420e-06,
         6,    1.000000e-02,    2.775504e-04,   -7.782672e-05,    1.904649e-03,   -1.815615e-03,   -1.902470e-03,    1.815034e-03,   -2.768261e-04,    7.594997e-05,   -2.617831e-01,   -1.163919e-01,   -2.286528e-01,    3.618616e-01,   -2.055084e-01,    3.681431e-01,   -2.350025e-01,    1.275597e-01,    2.704700e-04,   -7.693130e-05,    1.883120e-03,   -1.849070e-03,   -1.883120e-03,    1.849070e-03,   -2.704700e-04,    7.693130e-05,    2.704700e-05,   -7.693130e-06,    9.415600e-05,   -9.245350e-05,   -9.415600e-05,    9.245350e-05,   -2.704700e-05,    7.693130e-06,
         6,    1.000000e-01,    1.805203e-04,    2.290739e-04,    5.666273e-03,   -6.317762e-03,   -5.707402e-03,    6.277746e-03,   -1.751464e-04,   -2.311110e-04,   -2.969677e-01,   -6.011009e-01,    2.503162e-01,    2.466223e-01,    1.069610e-01,    3.717378e-01,    9.561331e-03,   -6.953760e-01,    1.753140e-04,    2.160850e-04,    5.738090e-03,   -6.396640e-03,   -5.738090e-03,    6.396640e-03,   -1.753140e-04,   -2.160850e-04,    1.753140e-05,    2.160850e-05,    2.869045e-04,   -3.198320e-04,   -2.869045e-04,    3.198320e-04,   -1.753140e-05,   -2.160850e-05,
         6,    1.000000e+00,   -1.697775e-05,   -1.981910e-05,    2.002252e-02,   -1.996186e-02,   -1.985710e-02,    1.994872e-02,    1.667544e-05,    2.012095e-05,   -1.046025e-01,    4.305471e-02,   -4.998762e-02,   -2.518685e-01,    1.156621e-01,   -2.385381e-01,    7.532214e-02,   -1.085907e-01,   -1.680200e-05,   -1.990480e-05,    1.997260e-02,   -1.971360e-02,   -1.997260e-02,    1.971360e-02,    1.680200e-05,    1.990480e-05,   -1.680200e-06,   -1.990480e-06,    9.986300e-04,   -9.856800e-04,   -9.986300e-04,    9.856800e-04,    1.680200e-06,    1.990480e-06,
         6,    1.000000e+01,   -6.044433e-05,    4.018341e-05,    6.193432e-02,   -6.319999e-02,   -6.195723e-02,    6.317776e-02,    5.577664e-05,   -2.913176e-05,    6.047599e-09,   -4.015187e-09,    1.396433e-01,    3.135839e-01,    1.322977e-01,    3.205083e-01,   -5.580783e-09,    2.909912e-09,    2.561040e-08,    3.555770e-08,    6.236980e-02,   -6.420670e-02,   -6.236980e-02,    6.420670e-02,   -2.561040e-08,   -3.555770e-08,    9.999000e+03,    9.999000e+03,    3.118490e-03,   -3.210335e-03,   -3.118490e-03,    3.210335e-03,    9.999000e+03,    9.999000e+03,
