VTF   36
1     31          -13         -13
5
0.001 -1.410E-03 2.721E-03 -6.177E-03 6.296E-03 0.00141 2.721E-03 0.006177 6.296E-03
0.01 -7.433E-03 3.712E-03 -1.895E-02 1.583E-02 0.007433 3.712E-03 0.01895 1.583E-02
0.1 -1.321E-02 -2.527E-02 -5.810E-02 3.131E-02 0.01321 0.02527 0.0581 3.131E-02
1 7.823E-02 -3.004E-02 -1.044E-01 -4.116E-03 7.823E-02 0.03004 0.1044 0.004116
10 3.818E-02 6.885E-02 -2.937E-02 -3.494E-02 3.818E-02 6.885E-02 0.02937 0.03494
6     36          -13         13
5
0.001 -1.821E-03 3.134E-03 -5.314E-03 5.489E-03 0.001821 3.134E-03 0.005314 5.489E-03
0.01 -8.696E-03 5.047E-03 -1.620E-02 1.338E-02 0.008696 5.047E-03 0.0162 1.338E-02
0.1 -1.610E-02 -1.668E-02 -5.059E-02 2.438E-02 0.0161 0.01668 0.05059 2.438E-02
1 3.776E-02 -1.374E-02 -7.170E-02 -2.309E-02 3.776E-02 0.01374 0.0717 0.02309
10 2.150E-02 -2.436E-03 -9.305E-03 -2.513E-02 2.150E-02 0.002436 0.009305 0.02513
7     25          -9          -13
5
0.001 -4.507E-03 5.376E-03 7.795E-03 -7.055E-03 0.004507 5.376E-03 7.795E-03 0.007055
0.01 -1.600E-02 1.017E-02 2.435E-02 -2.115E-02 0.016 1.017E-02 2.435E-02 0.02115
0.1 -3.586E-02 -1.075E-02 7.442E-02 -4.669E-02 0.03586 0.01075 7.442E-02 0.04669
1 2.338E-02 -2.760E-02 1.591E-01 8.498E-03 2.338E-02 0.0276 1.591E-01 8.498E-03
10 1.294E-02 3.185E-02 2.186E-02 9.760E-02 1.294E-02 3.185E-02 2.186E-02 9.760E-02
8     26          -9          -9
5
0.001 -3.212E-03 4.176E-03 1.125E-02 -1.029E-02 0.003212 4.176E-03 1.125E-02 0.01029
0.01 -1.232E-02 6.753E-03 3.513E-02 -3.031E-02 0.01232 6.753E-03 3.513E-02 0.03031
0.1 -2.703E-02 -2.466E-02 1.037E-01 -6.849E-02 0.02703 0.02466 1.037E-01 0.06849
1 6.930E-02 -1.023E-01 2.315E-01 -8.356E-02 6.930E-02 0.1023 2.315E-01 0.08356
10 2.659E-01 -2.062E-01 3.450E-01 -8.127E-02 2.659E-01 0.2062 3.450E-01 0.08127
9     27          -9          -5
5
0.001 -4.056E-03 4.814E-03 5.805E-03 -5.072E-03 0.004056 4.814E-03 5.805E-03 0.005072
0.01 -1.488E-02 7.369E-03 1.814E-02 -1.538E-02 0.01488 7.369E-03 1.814E-02 0.01538
0.1 -2.907E-02 -3.052E-02 5.153E-02 -3.356E-02 0.02907 0.03052 5.153E-02 0.03356
1 8.370E-02 -1.154E-01 1.220E-01 -4.282E-02 8.370E-02 0.1154 1.220E-01 0.04282
10 3.160E-01 -2.665E-01 1.385E-01 -6.046E-04 3.160E-01 0.2665 1.385E-01 0.0006046
10    28          -9          5
5
0.001 -3.407E-03 4.295E-03 -5.571E-03 5.660E-03 0.003407 4.295E-03 0.005571 5.660E-03
0.01 -1.325E-02 6.127E-03 -1.704E-02 1.420E-02 0.01325 6.127E-03 0.01704 1.420E-02
0.1 -2.433E-02 -3.307E-02 -4.988E-02 3.058E-02 0.02433 0.03307 0.04988 3.058E-02
1 9.494E-02 -1.106E-01 -1.140E-01 3.188E-02 9.494E-02 0.1106 0.114 3.188E-02
10 2.976E-01 -2.003E-01 -1.136E-01 -6.483E-02 2.976E-01 0.2003 0.1136 0.06483
11    29          -9          9
5
0.001 -3.663E-03 4.779E-03 -1.179E-02 1.162E-02 0.003663 4.779E-03 0.01179 1.162E-02
0.01 -1.447E-02 8.850E-03 -3.641E-02 3.129E-02 0.01447 8.850E-03 0.03641 3.129E-02
0.1 -3.372E-02 -1.934E-02 -1.090E-01 7.103E-02 0.03372 0.01934 0.109 7.103E-02
1 5.026E-02 -9.112E-02 -2.392E-01 9.231E-02 5.026E-02 0.09112 0.2392 9.231E-02
10 2.220E-01 -2.244E-01 -3.627E-01 1.463E-01 2.220E-01 0.2244 0.3627 1.463E-01
12    30          -9          13
5
0.001 -4.090E-03 5.206E-03 -7.671E-03 7.752E-03 0.00409 5.206E-03 0.007671 7.752E-03
0.01 -1.576E-02 1.018E-02 -2.357E-02 2.030E-02 0.01576 1.018E-02 0.02357 2.030E-02
0.1 -3.547E-02 -1.126E-02 -7.396E-02 4.471E-02 0.03547 0.01126 0.07396 4.471E-02
1 2.565E-02 -3.025E-02 -1.515E-01 -1.330E-02 2.565E-02 0.03025 0.1515 0.0133
10 2.233E-02 2.334E-02 -1.542E-02 -1.030E-01 2.233E-02 2.334E-02 0.01542 0.103
13    19          -5          -13
5
0.001 -8.818E-03 9.301E-03 8.129E-03 -7.306E-03 0.008818 9.301E-03 8.129E-03 0.007306
0.01 -2.933E-02 2.000E-02 2.508E-02 -2.135E-02 0.02933 2.000E-02 2.508E-02 0.02135
0.1 -7.018E-02 3.861E-03 7.264E-02 -5.027E-02 0.07018 3.861E-03 7.264E-02 0.05027
1 -3.322E-02 -2.664E-02 1.861E-01 -1.135E-02 0.03322 0.02664 1.861E-01 0.01135
10 -6.881E-03 -7.657E-03 4.897E-02 7.987E-02 0.006881 0.007657 4.897E-02 7.987E-02
14    20          -5          -9
